title,link,price,Img,Description,Bottle Size,Alcohol/Vol:,Made In:,By:,Sugar Content:,Sweetness Descriptor:,Style:,Varietal:,Release Date:,This is a VQA wine,This is a Kosher product.
Sawmill Creek Chardonnay,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/sawmill-creek-chardonnay-68536,$39.95,/content/dam/lcbo/products/068536.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Pale gold straw colour; aromas of oak, vanilla, pineapple and melon; dry, medium bodied, soft and buttery with a refreshing citrus finish.",4000 mL bagnbox,12.5%,Canada,"Arterra Wines Canada, Inc.",7 g/L,D - Dry,Light & Crisp,Chardonnay,,,
Sawmill Creek Dry White,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/sawmill-creek-dry-white-68577,$38.10,/content/dam/lcbo/products/068577.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Pale straw colour; aromas of citrus and apple; dry, light-bodied, crisp lemon and pear fruit flavours, with notes of peach and yellow apple.",4000 mL bagnbox,11.5%,Canada,"Arterra Wines Canada, Inc.",12 g/L,D - Dry,Light & Crisp,Blend,,,
Carlo Rossi California White,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/carlo-rossi-california-white-72041,$15.40,/content/dam/lcbo/products/072041.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Pale straw colour; pleasantly floral with a pear drop candy note; clean poached pear, honey and cantaloupe flavours.",1500 mL bottle,10.5%,USA,E. & J. Gallo Winery,19 g/L,M - Medium,Light & Crisp,Blend,,,
Montalto Pinot Grigio Sicily IGT,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/white-wine-14002/montalto-pinot-grigio-sicily-igt-73148,$9.95,/content/dam/lcbo/products/073148.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Pale straw with green highlights; light aromas of fresh pastry, black currant leaf with floral and citrus notes; extra dry, medium body; round fruit flavour and clean citrus finish.",750 mL bottle,12%,"Sicily, Italy",Barone Montalto,7 g/L,XD - Extra Dry,Light & Crisp,Pinot Grigio,,,
Casal Thaulero Pinot Grigio IGT,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/casal-thaulero-pinot-grigio-igt-73163,$9.55,/content/dam/lcbo/products/073163.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Clear pale straw colour; fresh bread, floral, quince, yellow berry and pear aromas; extra dry, medium bodied; floral, quince and soft melon flavours and clean lemon finish.",750 mL bottle,12.5%,"Abruzzo, Italy",Casal Thaulero D.P.L.,3 g/L,XD - Extra Dry,Light & Crisp,Pinot Grigio,,,
Alianca Vinho Verde,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/alianca-vinho-verde-75663,$9.05,/content/dam/lcbo/products/075663.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Pale straw yellow colour; fresh, pronounced aromas of green plum, minerality and grapefruit; comes across as extra dry with intense and focused fruit and mineral flavours, crisp acidity and spritzy citrus finish.",750 mL bottle,10%,"Vinho Verde, Portugal",Caves Alianca Vinicola De Sangalhos,17 g/L,D - Dry,Off-dry & Fruity,Vinho Verde,,,
Hochtaler,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/hochtaler-78493,$15.25,/content/dam/lcbo/products/078493.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Pale straw colour; mild aromas of fig, citrus and herbs that carry onto the palate; dry finish.",1500 mL bottle,11.5%,Canada,Andrew Peller Limited,18 g/L,M - Medium,Off-dry & Fruity,Blend,,,
Citra Trebbiano D'Abruzzo DOC,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/white-wine-14002/citra-trebbiano-dabruzzo-doc-79046,$15.10,/content/dam/lcbo/products/079046.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,Pale straw; rather neutral aroma light body and flavour with short crisp finish,1500 mL bottle,12%,"Abruzzo, Italy",Consorzio Cooperative Riunite,6 g/L,XD - Extra Dry,Light & Crisp,Trebbiano,,,
Gato Negro Sauvignon Blanc,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/gato-negro-sauvignon-blanc-79129,$15.10,/content/dam/lcbo/products/079129.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Pale straw colour; upfront herbal and gooseberry aromas with a hint of citrus; extra dry, fruity flavours with an herbal edge.",1500 mL bottle,12.5%,Chile,Vina San Pedro,4 g/L,XD - Extra Dry,Light & Crisp,Sauvignon Blanc,,,
Château des Charmes Barrel Fermented Chardonnay VQA,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/ch%C3%A2teau-des-charmes-barrel-fermented-chardonnay-vqa-81653,$14.95,/content/dam/lcbo/products/081653.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"The grapes for this wine are hand selected and sourced exclusively from their vineyards. Light golden in colour with aromas of pear, vanilla, yellow plum, herbs and butter. Rich, creamy texture fills the palate, with a bright note of acidity that adds balance. The rich fruit flavours persist on the lengthy finish.",750 mL bottle,12%,"Ontario, Canada",Chateau Des Charmes,2 g/L,XD - Extra Dry,Full-bodied & Rich,Chardonnay,,,
Pasqua Soave DOC,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/white-wine-14002/pasqua-soave-doc-82636,$15.15$16.65Save $1.50,/content/dam/lcbo/products/082636.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Pale straw; delicate nutty, yeasty and citrus aromas and flavours with a hint of bitter almond; extra dry and fresh with a clean finish.",1500 mL bottle,12%,"Veneto, Italy",Fratelli Pasqua S.A.S.,8 g/L,D - Dry,Light & Crisp,Soave,,,
Kourtakis Apelia Moschofilero White Peloponnese IGP,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/kourtakis-apelia-moschofilero-white-peloponnese-igp-83253,$15.95,/content/dam/lcbo/products/083253.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Clear, pale lemon; aromas of citrus, herbs with floral, minerally and mushroomy notes; extra-dry, medium in body, flavours are dominated by citrus and mineral notes, balanced acidity and a clean finish.",1500 mL bottle,12.5%,"Peloponnese, Greece",D. Kourtakis S.A.,2 g/L,XD - Extra Dry,Light & Crisp,Moschofilero,,,
Beringer Napa Valley Chardonnay,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/beringer-napa-valley-chardonnay-84988,$25.95,/content/dam/lcbo/products/084988.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Founded in 1876, Beringer is California's longest continually operating winery. This Chardonnay is vivid and focused with tropical fruit, lemon, pear, toasty spice and zesty acidity. Creamy and round, this will be ideal for buttered lobster.",750 mL bottle,14.1%,"California, USA",Beringer Vineyards,6 g/L,XD - Extra Dry,Full-bodied & Rich,Chardonnay,"April 1, 2021",,
Colio Dry White,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/colio-dry-white-85456,$16.45,/content/dam/lcbo/products/085456.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Pale straw colour; delicate yeasty note with fig, pear and melon fruit on the nose; dry with soft acidity on the palate with a clean finish.",1500 mL bottle,12%,Canada,Colio Wines Of Canada Ltd.,11 g/L,D - Dry,Light & Crisp,Blend,,,
Oggi Botter Pinot Grigio DOC,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/white-wine-14002/oggi-botter-pinot-grigio-doc-86199,$9.40,/content/dam/lcbo/products/086199.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"The freshness and zing of pinot grigio from Northern Italy give Oggi its light and charming, crowd-pleasing character.  Delicate aromas of lees - mushrooms and bread, lead to minerally, banana and nuts flavours. The finish is light and fresh. Serve as an aperitif or pair with garlic and chili prawns or grilled mussels.",750 mL bottle,12%,Italy,Casa Vinicola Botter,5 g/L,XD - Extra Dry,Light & Crisp,Pinot Grigio,,,
Tawse Sketches of Niagara Riesling,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/tawse-sketches-of-niagara-riesling-89029,$18.95,/content/dam/lcbo/products/089029.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Always a great value for Niagara Riesling, this is a reliably vibrant wine, with sweet-kissed apple, lime, white peach, apricot and mineral and a long, intense finish. Pair with grilled fish or pork sausages.",750 mL bottle,10%,"Ontario, Canada",Tawse Winery,22 g/L,M - Medium,Aromatic & Flavourful,Riesling,"April 1, 2021",,
Tawse Sketches of Niagara Chardonnay,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/tawse-sketches-of-niagara-chardonnay-89037,$19.95,/content/dam/lcbo/products/089037.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"A food-friendly, great-value Chardonnay from one of Ontario's most lauded new wineries. There are loads of tropical fruit, pear, cinnamon spice and oak all perfectly balanced by fresh acidity. Will match everything from chicken Caesar salad to grilled crab.",750 mL bottle,13%,"Ontario, Canada",Tawse Winery,5 g/L,D - Dry,Full-bodied & Rich,Chardonnay,"April 1, 2021",,
Quinta da Aveleda Vinho Verde,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/quinta-da-aveleda-vinho-verde-89995,$12.80,/content/dam/lcbo/products/089995.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Pale lemon yellow with green highlights; aromas of nuts, grapefruit and herbs; extra dry, fresh and lively, with a slight spritz, steely mineral notes as well as flavours of lime, herbs and a cleansing touch of yeast on the finish.",750 mL bottle,11%,Portugal,Sociedade Agricola E. Comercial,4 g/L,XD - Extra Dry,Light & Crisp,Vinho Verde,,,
Loios White,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/loios-white-92114,$9.25,/content/dam/lcbo/products/092114.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Pale straw colour; floral, yeasty, nuts, citrus and herbal aromas; extra dry, medium-plus body; leesy, nuts and citrus flavours with a crisp finish.",750 mL bottle,12.5%,"Alentejo, Portugal","J Portugal Ramos, S.A.",3 g/L,XD - Extra Dry,Light & Crisp,Blend,,,
Wyndham Estate Bin 222 Chardonnay,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/wyndham-estate-bin-222-chardonnay-93401,$12.95,/content/dam/lcbo/products/093401.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Lemon yellow colour; fragrant aromas of toast, vanilla and nutty oak with fragrant fresh pear presence; extra dry, medium bodied with toast, vanilla and pear flavours; note of hazelnuts on the finish.",750 mL bottle,13.5%,Australia,Wyndham Estate Wines Ltd.,5 g/L,XD - Extra Dry,Full-bodied & Rich,Chardonnay,,,
Trefethen Estate Chardonnay 2018,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/trefethen-estate-chardonnay-2018-95760,$48.95,/content/dam/lcbo/products/095760.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"100% Chardonnay. A delicious, enticing Chardonnay which draws you into the glass with its fresh lemon rind and pith characters, balanced by a touch of perfectly judged oak sweetness. Very textural, showing strident fruit and a juicy finish. Score - 97. (Decanter World Wine Awards, 2020)",750 mL bottle,13%,"California, USA",Trefethen Vineyards,2 g/L,XD - Extra Dry,Full-bodied & Rich,Chardonnay,"May 1, 2021",,
Barefoot Chardonnay,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/barefoot-chardonnay-97121,$9.95,/content/dam/lcbo/products/097121.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Clear straw colour; vanilla, fig, toast, pear and nutty aromas; dry medium body; good fruit flavour with a touch of vanilla, well balanced.",750 mL bottle,13.5%,USA,E. & J. Gallo Winery,8 g/L,D - Dry,Light & Crisp,Chardonnay,,,
Naked Grape Pinot Grigio,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/naked-grape-pinot-grigio-99184,$9.95,/content/dam/lcbo/products/099184.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Brilliant pale straw colour; delicate aromas of yellow pear, cantaloupe, floral note, quince and banana; extra dry and medium-bodied with balanced acidity; flavours of pears, melon and banana.",750 mL bottle,12%,Canada,"Arterra Wines Canada, Inc.",8 g/L,D - Dry,Light & Crisp,Pinot Grigio,,,
Cavit Collection Pinot Grigio delle Venezie IGT,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/white-wine-14002/cavit-collection-pinot-grigio-delle-venezie-igt-99218,$13.80,/content/dam/lcbo/products/099218.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Sustainably grown in mountainous northern Italy, this is a best-selling pinot grigio, with flavours of green pear, light floral element, cantaloupe and quince. It's light-plus bodied, extra dry and notably food-friendly. Serve well-chilled as an aperitif, or serve with pasta, veal, chicken or seafood.",750 mL bottle,12%,"Veneto, Italy",Ca'Vit-Consorzio Cantine Sociali,3 g/L,XD - Extra Dry,Light & Crisp,Pinot Grigio,,,
Woodbridge By Robert Mondavi Chardonnay,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/white-wine-14002/woodbridge-by-robert-mondavi-chardonnay-99408,$11.95$13.95Save $2.00,/content/dam/lcbo/products/099408.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"The colour is a bright pale lemon; aromas of ripe pear and buttered toast are joined by hints of spicy vanilla; the wine is extra dry and medium-bodied with balanced acidity framing notes  of ripe pear, toast and vanilla; a medium length finish, with honey and toasted oak notes balanced by lemony acidity.",750 mL bottle,13.5%,"California, USA",Robert Mondavi Winery,7 g/L,D - Dry,Aromatic & Flavourful,Chardonnay,,,
Domaine D'Or White,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/domaine-dor-white-106179,$37.10,/content/dam/lcbo/products/106179.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Pale straw colour; subtle nuttiness with herbal and yellow plum notes, soft dry finish",4000 mL bagnbox,11.5%,Canada,Andrew Peller Limited,10 g/L,D - Dry,Off-dry & Fruity,Blend,,,
Santa Margherita Pinot Grigio,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/santa-margherita-pinot-grigio-106450,$19.95,/content/dam/lcbo/products/106450.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Vintages releases thousands of wines each year, and this is consistently a top seller. It put Pinot Grigio on the map with its refreshing green apple, peach and citrus notes. A favourite with a plate of antipasti, grilled chicken or seafood salad.",750 mL bottle,12%,"Alto Adige-Trentino, Italy",S. Margherita S.P.A.,4 g/L,XD - Extra Dry,Light & Crisp,Pinot Grigio,"April 1, 2021",,
Gray Fox Chardonnay,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/gray-fox-chardonnay-107193,$15.50,/content/dam/lcbo/products/107193.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Soft and fruity with spiced apple and pear, serve chilled with grilled pork chops.",1500 mL bottle,12.5%,"California, USA",The Wine Group,8 g/L,D - Dry,Light & Crisp,Chardonnay,,,
L'Epayrie Blanc,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/lepayrie-blanc-109017,$15.10,/content/dam/lcbo/products/109017.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Clean, simple and ready to enjoy, this L'Epayrie white is a timeless, uncomplicated customer favourite. The pale yellow colour is followed by light nutty, leesy and savory fruit aromas and flavours of nuts and yellow berries. Light to medium in body with a soft, clean finish.",1500 mL bottle,11%,France,Maison Tarride Ledroit & Cie,9 g/L,D - Dry,Light & Crisp,Blend,,,
Sandbanks Dunes White VQA,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/sandbanks-dunes-white-vqa-110031,$13.95,/content/dam/lcbo/products/110031.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Pale straw colour; citrus, nutty and herbal aromas with hints of fresh fig and cantaloupe; medium body with citrus, nuts and melon flavours, clean finish.",750 mL bottle,12%,"Ontario, Canada","Arterra Wines Canada, Inc.",12 g/L,D - Dry,Light & Crisp,White Blend,,,
Reif Estate Riesling VQA,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/reif-estate-riesling-vqa-111799,$13.95,/content/dam/lcbo/products/111799.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Pale straw colour; aromas and flavours of ripe pear, floral note, biscuit, golden raisins and pine nuts; dry, medium-bodied with medium finish.",750 mL bottle,12%,"Ontario, Canada",Reif Winery Inc.,13 g/L,D - Dry,Light & Crisp,Riesling,,,
Beringer Main & Vine Pinot Grigio,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/beringer-main-vine-pinot-grigio-112995,$10.95,/content/dam/lcbo/products/112995.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Pale lemon colour; aromas and flavours of pastry, fresh pear, with touch of minerality and floral, honeyed notes; extra dry, medium bodied with gentle acidity.",750 mL bottle,13%,"California, USA",Beringer Vineyards,12 g/L,D - Dry,Light & Crisp,Pinot Grigio,,,
Concha Y Toro Frontera Sauvignon Blanc,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/concha-y-toro-frontera-sauvignon-blanc-113019,$15.10,/content/dam/lcbo/products/113019.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Pale lemon with a green hue; aromas of white citrus, green apple and gooseberry; flavours of lemon-lime, lemongrass and mineral; dry, medium-high acidity, medium body, with a lingering finish of citrus zest.",1500 mL bottle,12%,Chile,Concha Toro S.A.,8 g/L,D - Dry,Light & Crisp,Sauvignon Blanc,,,
